priority,action,exceptionCandidate,supplier,supplierCode,category,seoMode,rrp,sku,title,slug,sourceUid,sourceUrl,mainImageUrl,reason
P1,Source real supplier image before launch,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,455.00,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,NISSAN PATROL Y61 GU 4.8L CAT ASSY USE WITH EH148,nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,ESA_nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,https://exhaustsystemsaustralia.com.au/products/nissan-patrol-y61-gu-4-8l-cat-assy-use-with-eh148,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,Exhaust Systems Australia,esa,exhaust-pipes-tips,rich,200.00,holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,"HOLDEN COMMODORE VE UTE TWIN REAR 2 1/2"" J-PIPE KIT RHS WITH TYP083 TIP",holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,ESA_holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,https://exhaustsystemsaustralia.com.au/products/holden-commodore-ve-ute-twin-rear-2-1-2-j-pipe-kit-rhs-with-typ083-tip,,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2706.99,CHEVH142-134-C,2010 Camaro 1 3/4in Headers With 3in Outlet (Silver Ceramic Coating),chevh142-134-c-2010-camaro-1-3-4in-headers-with-3in-outlet-silver-ceramic-coating,MPI_CHEVH142-134-C,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,2691.92,SSMBC722-E5-C,SILVERADO 1500 V8 6.2L CERAMIC COATED 3in CATS LH + RH OE E5,ssmbc722-e5-c-silverado-1500-v8-6-2l-ceramic-coated-3in-cats-lh-rh-oe-e5,MPI_SSMBC722-E5-C,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2684.18,SSMBM478MF-E4-EV,"VF HSV Incl GTS, Clubsport 3in Dual Rear Mufflers With OEM Electric Bimodal Valves",ssmbm478mf-e4-ev-vf-hsv-incl-gts-clubsport-3in-dual-rear-mufflers-with-oem-electric-bimodal-valves,MPI_SSMBM478MF-E4-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2627.63,SSMBM478MF-E3-VBM,VE Sedan V8 6.2L E3 HSV 3in Dual Rear Mufflers Fitted With OEM VACUUM Bimodal Valves,ssmbm478mf-e3-vbm-ve-sedan-v8-6-2l-e3-hsv-3in-dual-rear-mufflers-fitted-with-oem-vacuum-bimodal-valves,MPI_SSMBM478MF-E3-VBM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2483.25,FX-720HPC-S,SILVERADO 1500 V8 6.2L 1 7/8in Ceramic Coated Extractors with 3in outlets - Ceramic Coated (Silver),fx-720hpc-s-silverado-1500-v8-6-2l-1-7-8in-ceramic-coated-extractors-with-3in-outlets-ceramic-coated-silver,MPI_FX-720HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2437.28,SSMBM644MF-BM,Ford Mustang V8 3in Dual Rear Mufflers With 4in Quad Tips & Electric Bimodals,ssmbm644mf-bm-ford-mustang-v8-3in-dual-rear-mufflers-with-4in-quad-tips-and-electric-bimodals,MPI_SSMBM644MF-BM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2345.75,FX-610DFSS-HPC-S,"Landcruiser FZJ80 4.5L1FZE DOHC Eng, 1 3/4"" Primary, 2 1/2"" Outlet Direct Fit Extractor With Flex",fx-610dfss-hpc-s-landcruiser-fzj80-4-5l1fze-dohc-eng-1-3-4-primary-2-1-2-outlet-direct-fit-extractor-with-flex,MPI_FX-610DFSS-HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2264.23,FX-217LHDHPC-S,Ford Mustang 289 - 302 Windsor Interference 1964 on LHD (Not Mech Clutch) - Ceramic Coated (Silver),fx-217lhdhpc-s-ford-mustang-289-302-windsor-interference-1964-on-lhd-not-mech-clutch-ceramic-coated-silver,MPI_FX-217LHDHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2264.23,FX-217RHDHPC-S,"Ford Mustang 289 - 302 Windsor Inter 1964 on, RHD. NOT MECHANICAL CLUTCH - Ceramic Coated (Silver)",fx-217rhdhpc-s-ford-mustang-289-302-windsor-inter-1964-on-rhd-not-mechanical-clutch-ceramic-coated-silver,MPI_FX-217RHDHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2252.91,FX-211HPC-B,"Ford BA - BF Falcon V8 BOSS 4-1, 1 7/8in Primary 3in Outlet Extractor - Black Ceramic Coated",fx-211hpc-b-ford-ba-bf-falcon-v8-boss-4-1-1-7-8in-primary-3in-outlet-extractor-black-ceramic-coated,MPI_FX-211HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2217.27,HOLS128SR-VFHSV-EV,VF HSV Sedan 2.5in Rear Mufflers (pair) with Electric Bimodal Valves,hols128sr-vfhsv-ev-vf-hsv-sedan-2-5in-rear-mufflers-pair-with-electric-bimodal-valves,MPI_HOLS128SR-VFHSV-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2217.27,HOLS128UR-3-EV,VE VF Ute 3in Rear Mufflers (pair) with Electric Valves,hols128ur-3-ev-ve-vf-ute-3in-rear-mufflers-pair-with-electric-valves,MPI_HOLS128UR-3-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2217.27,HOLS128UR-3-VFGTS-R-EV,VF HSV GTSR Maloo Ute 3in Rear Mufflers E/Valve,hols128ur-3-vfgts-r-ev-vf-hsv-gtsr-maloo-ute-3in-rear-mufflers-e-valve,MPI_HOLS128UR-3-VFGTS-R-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,2217.27,HOLS128UR-3VFHSV-EV,VF HSV Maloo Ute 3in Rear Mufflers E/Valve,hols128ur-3vfhsv-ev-vf-hsv-maloo-ute-3in-rear-mufflers-e-valve,MPI_HOLS128UR-3VFHSV-EV,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2173.62,FX-179DFSSHPC-S,Ford F150 351 Windsor Direct Fit Stainless Steel Extractor - Ceramic Coated (Silver),fx-179dfsshpc-s-ford-f150-351-windsor-direct-fit-stainless-steel-extractor-ceramic-coated-silver,MPI_FX-179DFSSHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2171.46,FX-207HPC-S,"Ford BA,BF Falcon, V8 5.4L 3 Valve Barra 220 & 230, 1 3/4in Primary 4-1 Tuned Extractor - Ceramic Co",fx-207hpc-s-ford-ba-bf-falcon-v8-5-4l-3-valve-barra-220-and-230-1-3-4in-primary-4-1-tuned-extractor-ceramic-co,MPI_FX-207HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2169.18,FX-216HPC-B,"Ford FG Supercharged V8 5.0L 4 - 1, 1 7/8in Primary, 3in Outlet. - Ceramic Coated (Black)",fx-216hpc-b-ford-fg-supercharged-v8-5-0l-4-1-1-7-8in-primary-3in-outlet-ceramic-coated-black,MPI_FX-216HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2146.01,FX-518HPC-B,"Holden Commodore VE, VF all V8s, 4 - 1 Tuned, 1 3/4in Primary - Ceramic Coated (Black)",fx-518hpc-b-holden-commodore-ve-vf-all-v8s-4-1-tuned-1-3-4in-primary-ceramic-coated-black,MPI_FX-518HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2145.99,FX-282HPC-B,"Commodore VB - VS V8 5.0L EFI 4-1 Tuned Extractor 1 3/4 Primary, 3 inch Out - Ceramic Coated (Black)",fx-282hpc-b-commodore-vb-vs-v8-5-0l-efi-4-1-tuned-extractor-1-3-4-primary-3-inch-out-ceramic-coated-black,MPI_FX-282HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2145.99,FX-303HPC-B,"Holden HQ HJ HX HZ 5.0L EFI Conversion 1 3/4in 4 - 1, 3in Outlets Extractor - Ceramic Coated (Black)",fx-303hpc-b-holden-hq-hj-hx-hz-5-0l-efi-conversion-1-3-4in-4-1-3in-outlets-extractor-ceramic-coated-black,MPI_FX-303HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2145.87,HOLH128-134-BC,VE VF 1 3/4in Headers With 3in Outlet - BLACK Ceramic Coated - Suit DPE cat backs,holh128-134-bc-ve-vf-1-3-4in-headers-with-3in-outlet-black-ceramic-coated-suit-dpe-cat-backs,MPI_HOLH128-134-BC,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,2101.40,SSMBM222DPF,PAJERO NS AUTO 3.2L Turbo Diesel 3in CENTRE DPF,ssmbm222dpf-pajero-ns-auto-3-2l-turbo-diesel-3in-centre-dpf,MPI_SSMBM222DPF,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2088.79,FX-722HPC-B,Nissan Patrol Y62 5.6 Ltr V8 2013 to Current Extractors - Ceramic Coated (BLACK),fx-722hpc-b-nissan-patrol-y62-5-6-ltr-v8-2013-to-current-extractors-ceramic-coated-black,MPI_FX-722HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2084.58,FX-721HPC-B,SILVERADO 1500 V8 6.2L 1 3/4in Ceramic Coated Extractors with 3in outlets - Ceramic Coated (Black),fx-721hpc-b-silverado-1500-v8-6-2l-1-3-4in-ceramic-coated-extractors-with-3in-outlets-ceramic-coated-black,MPI_FX-721HPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2081.19,FX-220HPC-S,"Ford Falcon FG V8 5.4L Boss 4-1, 1 7/8in Primary, 3in Outlet. - Ceramic Coated (Silver)",fx-220hpc-s-ford-falcon-fg-v8-5-4l-boss-4-1-1-7-8in-primary-3in-outlet-ceramic-coated-silver,MPI_FX-220HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2054.15,FX-199HPC-S,Ford Falcon EB ED EF EL Windsor V8 Extractor 4-1 1 3/4in Primaries - Ceramic Coated (Silver),fx-199hpc-s-ford-falcon-eb-ed-ef-el-windsor-v8-extractor-4-1-1-3-4in-primaries-ceramic-coated-silver,MPI_FX-199HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2042.25,FX-208FGHPC-S,Ford FG Falcon 5.4L V8 BOSS TRI-Y 1 3/4in Primary 2 1/2in Outlets - Ceramic Coated (Silver),fx-208fghpc-s-ford-fg-falcon-5-4l-v8-boss-tri-y-1-3-4in-primary-2-1-2in-outlets-ceramic-coated-silver,MPI_FX-208FGHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,2042.25,FX-210HPC-S,"Ford BA - BF Falcon V8 BOSS 4-1, 1 3/4 in Primary 3in Out Extractor - Ceramic Coated (Silver)",fx-210hpc-s-ford-ba-bf-falcon-v8-boss-4-1-1-3-4-in-primary-3in-out-extractor-ceramic-coated-silver,MPI_FX-210HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,1951.28,HOLS128SR-3VBM,VE Sedan 3in Rear Mufflers (pair) - With Vacuum Bimodal,hols128sr-3vbm-ve-sedan-3in-rear-mufflers-pair-with-vacuum-bimodal,MPI_HOLS128SR-3VBM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,1951.28,HOLS128UR-25HSVBM,VF HSV Maloo 2.5in Rear Mufflers (pair) - With Vacuum Bimodal,hols128ur-25hsvbm-vf-hsv-maloo-2-5in-rear-mufflers-pair-with-vacuum-bimodal,MPI_HOLS128UR-25HSVBM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,1951.28,HOLS128UR-3HSVBM,VF HSV Maloo 3in Rear Mufflers (pair) - With Vacuum Bimodal,hols128ur-3hsvbm-vf-hsv-maloo-3in-rear-mufflers-pair-with-vacuum-bimodal,MPI_HOLS128UR-3HSVBM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,1951.28,HOLS128UR-3VBM,VE Ute 3in Rear Mufflers (pair) - With Vacuum Bimodal,hols128ur-3vbm-ve-ute-3in-rear-mufflers-pair-with-vacuum-bimodal,MPI_HOLS128UR-3VBM,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1945.00,FX-208HPC-S,Ford BA - BF Falcon 5.4L V8 BOSS TRI-Y 1 3/4in Primary 2 1/2in Outlets - Ceramic Coated (Silver),fx-208hpc-s-ford-ba-bf-falcon-5-4l-v8-boss-tri-y-1-3-4in-primary-2-1-2in-outlets-ceramic-coated-silver,MPI_FX-208HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1944.13,FX-191NPSHPC-S,"Ford F100, F250 302, 351 2V Cleveland 2WD up to 1979, Nissan Pwr Steer Box - Ceramic Coated (Silver)",fx-191npshpc-s-ford-f100-f250-302-351-2v-cleveland-2wd-up-to-1979-nissan-pwr-steer-box-ceramic-coated-silver,MPI_FX-191NPSHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1896.21,FX-192HPC-S,"Ford F100, F150, F250, F350, Sept 1985 - 1993, 302 Windsor EFI V8, 2WD & 4WD Manual & Auto Extractor",fx-192hpc-s-ford-f100-f150-f250-f350-sept-1985-1993-302-windsor-efi-v8-2wd-and-4wd-manual-and-auto-extractor,MPI_FX-192HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1870.07,FX-196HPC-S,Ford F100 1979 on 351 4V Cleveland (2WD only) Extractor - Ceramic Coated (Silver),fx-196hpc-s-ford-f100-1979-on-351-4v-cleveland-2wd-only-extractor-ceramic-coated-silver,MPI_FX-196HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1843.62,FX-296AHPC-B,Holden Commodore VB VC VH VK 253 - 308 V8 (Fast Fit) Extractor Red Motor,fx-296ahpc-b-holden-commodore-vb-vc-vh-vk-253-308-v8-fast-fit-extractor-red-motor,MPI_FX-296AHPC-B,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1823.81,FX-192SSHPC-S,Ford F150 - 250 EFI Windsor 302 2WD - 4WD & Bronco Extractor SS - Ceramic Coated (Silver),fx-192sshpc-s-ford-f150-250-efi-windsor-302-2wd-4wd-and-bronco-extractor-ss-ceramic-coated-silver,MPI_FX-192SSHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,1801.18,SSMBM481MF-GRANGE,WM Statesman Grange V8 6.0L 3in Dual Rear Muffler,ssmbm481mf-grange-wm-statesman-grange-v8-6-0l-3in-dual-rear-muffler,MPI_SSMBM481MF-GRANGE,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,1801.18,SSMBM482MF,Holden VE HSV Senator V8 6.0L 3in Dual R/Mufflers,ssmbm482mf-holden-ve-hsv-senator-v8-6-0l-3in-dual-r-mufflers,MPI_SSMBM482MF,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,1795.20,SSMBE838,"Silverado 2500 HD LTZ, 6.6L TD V8, 2018-2019, 5in Over Axle Pipe",ssmbe838-silverado-2500-hd-ltz-6-6l-td-v8-2018-2019-5in-over-axle-pipe,MPI_SSMBE838,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1786.95,FX-201GENHPC-S,Falcon AU V8 5.0L Mandrel Bent 1 1/2in Primaries 2 1/2in Outlets - Ceramic Coated (Silver),fx-201genhpc-s-falcon-au-v8-5-0l-mandrel-bent-1-1-2in-primaries-2-1-2in-outlets-ceramic-coated-silver,MPI_FX-201GENHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1738.24,FX-231HPC-S,ADVENTRA & CROSS 8 HEADER V8 - Ceramic Coated (Silver),fx-231hpc-s-adventra-and-cross-8-header-v8-ceramic-coated-silver,MPI_FX-231HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1737.86,FX-303HPC-S,"Holden HQ HJ HX HZ 5.0L EFI Conversion 1 3/4in Primaries 4-1, 3in Outlets - Ceramic Coated (Silver)",fx-303hpc-s-holden-hq-hj-hx-hz-5-0l-efi-conversion-1-3-4in-primaries-4-1-3in-outlets-ceramic-coated-silver,MPI_FX-303HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,exhaust-pipes-tips,rich,1736.43,FX-228SSCAT,Holden Commodore VZ V6 190KW Cats to suit FX-228SS (Pair),fx-228sscat-holden-commodore-vz-v6-190kw-cats-to-suit-fx-228ss-pair,MPI_FX-228SSCAT,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,mufflers-resonators,rich,1709.63,SSMBM644MF,Ford Mustang V8 3in Dual Rear Mufflers With 4in Quad Tips,ssmbm644mf-ford-mustang-v8-3in-dual-rear-mufflers-with-4in-quad-tips,MPI_SSMBM644MF,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1705.66,FX-769,"Chrysler 300C 5.7L, 6.1L & 6.4L SRT8, 4-1 Extractor 1 3/4in Primaries With 3in Outlets",fx-769-chrysler-300c-5-7l-6-1l-and-6-4l-srt8-4-1-extractor-1-3-4in-primaries-with-3in-outlets,MPI_FX-769,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1688.75,FX-160HPC-S,Ford Capri V6 Motor - Ceramic Coated (Silver),fx-160hpc-s-ford-capri-v6-motor-ceramic-coated-silver,MPI_FX-160HPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1656.82,PH5225,Holden HQ HJ HX HZ 44.5mm Tuned length HEADERS,ph5225-holden-hq-hj-hx-hz-44-5mm-tuned-length-headers,MPI_PH5225,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1647.09,FX-690DFFHPC-S,Toyota LandCruiser HZJ105 1HZ Motor Direct Fit With Flex & EGR Fitting - Ceramic Coated (Silver),fx-690dffhpc-s-toyota-landcruiser-hzj105-1hz-motor-direct-fit-with-flex-and-egr-fitting-ceramic-coated-silver,MPI_FX-690DFFHPC-S,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1628.98,FX-217LHD,Ford Mustang 289 - 302 Windsor Interference 1964 on Manual and Auto LHD (Not Mech Clutch) Extractor,fx-217lhd-ford-mustang-289-302-windsor-interference-1964-on-manual-and-auto-lhd-not-mech-clutch-extractor,MPI_FX-217LHD,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
P1,Source real supplier image before launch,no,MPI Automotive,mpi,extractors-headers,rich,1628.98,FX-217RHD,"Ford Mustang 289 - 302 Windsor Interference 1964 on, Manual and Auto, RHD. NOT MECHANICAL CLUTCH",fx-217rhd-ford-mustang-289-302-windsor-interference-1964-on-manual-and-auto-rhd-not-mechanical-clutch,MPI_FX-217RHD,mpiautomotive.com,https://www.mpiautomotive.com/media/catalog/product/placeholder/default/DEFAULT-IMAGE-01.jpg,No matched ZIP image candidate or usable remote image URL
